@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
889,'2022/02/21 23:49:44:700',4,0.313688,0.372524,0.338265,0.194337,0.407291,0.040355,0.351422,0.252748,0.337049,0.24374,0.31384,0.040806,1
890,'2022/02/21 23:49:44:799',4,0.315267,0.37558,0.34186,0.20038,0.412197,0.042118,0.356434,0.256148,0.339584,0.259081,0.316899,0.04622,1
891,'2022/02/21 23:49:44:897',4,0.316979,0.378613,0.347439,0.202311,0.413553,0.043998,0.356107,0.25494,0.340627,0.25633,0.319337,0.045883,1
892,'2022/02/21 23:49:44:997',4,0.320141,0.373441,0.350657,0.195897,0.412959,0.041429,0.360443,0.257297,0.344066,0.258949,0.323214,0.04659,1
893,'2022/02/21 23:49:45:096',4,0.323284,0.371411,0.352369,0.190915,0.416486,0.037314,0.366515,0.251808,0.347282,0.256957,0.326999,0.042764,1
894,'2022/02/21 23:49:45:195',4,0.331838,0.372982,0.363162,0.185859,0.428807,0.043167,0.373336,0.254308,0.356953,0.251599,0.337409,0.044251,1
895,'2022/02/21 23:49:45:295',4,0.341481,0.366704,0.37589,0.184089,0.441156,0.042134,0.384756,0.252359,0.367943,0.252397,0.348277,0.039649,1
896,'2022/02/21 23:49:45:393',4,0.346406,0.36549,0.382563,0.179284,0.447452,0.041346,0.393296,0.247659,0.375312,0.251251,0.355131,0.038508,1
897,'2022/02/21 23:49:45:492',4,0.349673,0.367335,0.38864,0.182362,0.453897,0.045649,0.397825,0.250165,0.38025,0.253176,0.361788,0.039632,1
898,'2022/02/21 23:49:45:592',4,0.352954,0.368112,0.39286,0.187701,0.457595,0.046138,0.401777,0.251593,0.383866,0.253365,0.36703,0.042364,1
899,'2022/02/21 23:49:45:691',4,0.356693,0.371664,0.395426,0.186389,0.4634,0.04947,0.407118,0.252077,0.388212,0.256728,0.371796,0.042924,1
900,'2022/02/21 23:49:45:790',4,0.360225,0.373859,0.400419,0.188248,0.468755,0.053975,0.410724,0.253178,0.392523,0.259965,0.37717,0.047161,1
901,'2022/02/21 23:49:45:890',4,0.358225,0.374798,0.398704,0.191617,0.465426,0.056133,0.405008,0.260232,0.388688,0.26437,0.373646,0.052614,1
902,'2022/02/21 23:49:45:989',4,0.353592,0.378196,0.392186,0.203533,0.457392,0.057743,0.39934,0.264405,0.383162,0.266349,0.363982,0.054056,1
903,'2022/02/21 23:49:46:088',4,0.354938,0.384954,0.394179,0.203255,0.463231,0.066858,0.405286,0.268036,0.386471,0.275215,0.36967,0.060251,1
904,'2022/02/21 23:49:46:187',4,0.364006,0.387072,0.40524,0.203727,0.473097,0.072163,0.414598,0.268094,0.394689,0.279996,0.380513,0.058882,1
905,'2022/02/21 23:49:46:287',4,0.367274,0.385727,0.410781,0.203088,0.479982,0.07566,0.418477,0.265365,0.39946,0.278719,0.387802,0.062295,1
906,'2022/02/21 23:49:46:386',4,0.370853,0.386301,0.413207,0.20505,0.482938,0.075988,0.423084,0.267284,0.403262,0.27747,0.392123,0.064607,1
907,'2022/02/21 23:49:46:479',4,0.373181,0.391855,0.41492,0.213587,0.487512,0.084449,0.423993,0.275782,0.404317,0.28683,0.396389,0.07044,1
908,'2022/02/21 23:49:46:580',4,0.37161,0.393893,0.413438,0.217976,0.485541,0.089056,0.421229,0.278893,0.40404,0.290107,0.397533,0.074827,1
909,'2022/02/21 23:49:46:679',4,0.369985,0.387064,0.414523,0.214179,0.480369,0.08265,0.417841,0.278936,0.401215,0.286635,0.392658,0.069014,1
910,'2022/02/21 23:49:46:779',4,0.368228,0.382013,0.414692,0.206155,0.479165,0.076264,0.417743,0.26887,0.399534,0.279489,0.39028,0.062042,1
911,'2022/02/21 23:49:46:878',4,0.367877,0.375978,0.412581,0.200783,0.476123,0.066616,0.415312,0.264771,0.397807,0.27581,0.38773,0.057428,1
912,'2022/02/21 23:49:46:977',4,0.362369,0.37002,0.406657,0.192775,0.469491,0.05864,0.410165,0.256006,0.392912,0.261865,0.381272,0.049127,1
913,'2022/02/21 23:49:47:076',4,0.357564,0.371683,0.398003,0.195088,0.461602,0.055187,0.402805,0.260403,0.386695,0.261026,0.373507,0.047398,1
914,'2022/02/21 23:49:47:176',4,0.350864,0.378551,0.390372,0.200709,0.455979,0.061659,0.39565,0.263812,0.380064,0.266344,0.365341,0.056313,1
915,'2022/02/21 23:49:47:276',4,0.346731,0.38459,0.382493,0.208269,0.4455,0.063327,0.388412,0.268142,0.374453,0.266536,0.354454,0.065855,1
916,'2022/02/21 23:49:47:375',4,0.340766,0.384856,0.37678,0.218535,0.437432,0.06342,0.382641,0.273994,0.367712,0.270173,0.349468,0.066355,1
917,'2022/02/21 23:49:47:474',4,0.338528,0.388451,0.371585,0.21697,0.433475,0.068228,0.37828,0.276173,0.363808,0.269067,0.343637,0.067873,1
